NodeNo.,X,Y,Z,stress
31652,4.4957E-01,-1.5890E-01,38.575,0.3565
31653,4.4989E-01,-3.9735E-02,38.600,0.1705
31654,4.7458E-01,-1.6056E-01,38.600,0.3667
31655,4.9970E-01,-1.2148E-01,38.600,0.2869
31656,4.7479E-01,-8.0230E-02,38.600,0.2142
31657,4.9980E-01,-8.0970E-02,38.575,0.2098
31658,4.9960E-01,-1.6194E-01,38.575,0.3621
31659,4.9990E-01,-4.0495E-02,38.600,0.161
31660,5.2463E-01,-1.6319E-01,38.600,0.3711
31661,5.4975E-01,-1.2316E-01,38.600,0.2894
31662,5.2482E-01,-8.1548E-02,38.600,0.2137
31663,5.4983E-01,-8.2087E-02,38.575,0.2093
31664,5.4967E-01,-1.6417E-01,38.575,0.3654
31665,5.4992E-01,-4.1054E-02,38.600,0.1539
31666,5.7471E-01,-1.6505E-01,38.600,0.3737
31667,5.9982E-01,-1.2427E-01,38.600,0.2906
31668,5.7486E-01,-8.2478E-02,38.600,0.2131
31669,5.9988E-01,-8.2827E-02,38.575,0.2085
31670,5.9977E-01,-1.6565E-01,38.575,0.3672
31671,5.9994E-01,-4.1424E-02,38.600,0.1482
31672,6.2482E-01,-1.6618E-01,38.600,0.375
31673,6.4991E-01,-1.2488E-01,38.600,0.2909
31674,6.2491E-01,-8.3051E-02,38.600,0.2121
31675,6.4994E-01,-8.3231E-02,38.575,0.2072
31676,6.4988E-01,-1.6646E-01,38.575,0.3679
31677,6.4997E-01,-4.1627E-02,38.600,0.1433
31678,6.7494E-01,-1.6670E-01,38.600,0.3751
31679,7.0000E-01,-1.2507E-01,38.600,0.2903
31680,6.7497E-01,-8.3318E-02,38.600,0.2106
31681,7.0000E-01,-8.3360E-02,38.575,0.2056
31682,7.0000E-01,-1.6672E-01,38.575,0.3675
31683,7.0000E-01,-4.1691E-02,38.600,0.139
31684,7.2506E-01,-1.6672E-01,38.600,0.3741
31685,7.5009E-01,-1.2494E-01,38.600,0.2889
31686,7.2503E-01,-8.3338E-02,38.600,0.2089
31687,7.5006E-01,-8.3272E-02,38.575,0.2038
