x, y, z, stress
0.384123176, -0.0978010967, 0.0810738578, 1.292
0.329801559, -0.158732921, 0.064356111, 1.289
0.0976343825, -0.226046413, 0.0607828274, 1.395
0.252895921, -0.169421136, 0.0854043812, 1.362
0.163914382, -0.0606123172, 0.146095559, 1.568
-0.0957450196, 0.22914803, 0.056157589, 1.374
-0.217441589, 0.177905574, 0.0882861242, 1.721
-0.326108992, 0.157686785, 0.0672703907, 1.663
-0.0886660963, 0.158748403, 0.120302163, 1.715
-0.141394928, 0.09896373, 0.139789909, 1.830
-0.385309696, 0.0947100297, 0.0819952637, 1.788
-0.296491593, 0.103693023, 0.110427253, 1.885
-0.217467606, 0.0655702949, 0.137826785, 1.925
-0.454394549, 0.0609109849, 0.0541972592, 1.723
-0.0678763837, 0.0762837529, 0.150813371, 1.774
-0.138837919, -0.0960952565, 0.140867919, 1.875
-0.239259094, -0.0900764838, 0.128119946, 2.000
-0.181532145, -0.176230609, 0.0974909067, 1.875
-0.386322647, -0.0939855874, 0.0818485096, 1.851
-0.308529973, -0.101468831, 0.107866853, 1.972
-0.454556525, -0.0607508533, 0.0541317575, 1.744
-0.254476696, -0.199655682, 0.0513916947, 1.909
-0.104825631, -0.221440524, 0.066254653, 1.539
-0.32351464, -0.15969196, 0.0666124374, 1.889
-0.263193101, -0.149445131, 0.0967406109, 1.987
-0.0857156962, -0.170577243, 0.113708764, 1.750
-0.414421469, -0.139870346, 0., 1.770
-0.390866429, -0.136185527, 0.0485698842, 1.801
-0.419661373, -0.113222182, 0.0481142886, 1.771
-0.286191851, -0.126038864, 0.103469931, 1.971
-0.372468531, 0., 0.106741562, 1.910
-0.404460341, 0.0483193696, 0.0888383612, 1.829
-0.354064703, 0.0484526455, 0.108634017, 1.899
-0.347913176, -0.0982773229, 0.0961719528, 1.910
-0.35622859, -0.165973082, 0.0363632441, 1.835
-0.352560133, -0.177271932, 0., 1.814
-0.323434204, -0.18210052, 0.0361301377, 1.852
0.320198327, 0.182762578, 0.0376790725, 1.259
0.337572426, 0.184421301, 0., 1.307
0.355162799, 0.165936753, 0.0374815166, 1.226
0.284851551, 0.184894979, 0.0573460981, 1.268
0.297726929, 0.1511558, 0.0846436992, 1.332
0.384785622, 0.140735924, 0.0482273288, 1.195
0.114303939, 0.172059834, 0.110163815, 1.500
0.35485521, 0.0486830845, 0.108327262, 1.352
0.317747951, -0.185163543, 0.0348992012, 1.260
0.291715443, -0.164906204, 0.0758108795, 1.316
0.279866904, -0.193177372, 0.0478980392, 1.273
0.314801961, -0.0542290621, 0.119363241, 1.402
0.353577346, -0.0500970073, 0.108490959, 1.354
0.372468829, 0., 0.106741458, 1.348
0.404007763, -0.0499684066, 0.0886754394, 1.279
0.383287519, -0.141944572, 0.0479974709, 1.196
-0.0429319814, -0.14451836, 0.12983273, 1.720
0., -0.173104569, 0.115439408, 1.623
-0.0429510996, -0.1951316, 0.0990708023, 1.611
0.337573141, -0.184420973, 0., 1.301
-0.0524786189, -0.21997194, 0.0741512403, 1.465
-0.0955419093, -0.198260352, 0.0925475657, 1.662
-0.354567051, -0.0480781682, 0.108534344, 1.919
-0.314823955, -0.0514895916, 0.119853206, 1.972
-0.215852946, 0.0329307653, 0.142775148, 1.944
-0.160711512, -0.13797085, 0.123118103, 1.878
-0.222554058, -0.163400084, 0.0979384705, 1.939
-0.452857137, 0.0944091603, 0.0308066532, 1.610
-0.218708724, 0.124595784, 0.119762987, 1.840
-0.26834324, 0., 0.135005087, 1.972
-0.212304831, -0.222343311, 0.0271160435, 1.712
-0.218661487, -0.190229654, 0.0766918287, 1.881
-0.17696473, -0.216998979, 0.0557289533, 1.534
-0.257350266, 0.0851220712, 0.125897855, 1.911
-0.257741958, 0.142514199, 0.102363937, 1.816
-0.341482818, 0.0998826474, 0.0978401303, 1.834
0.201742858, 0.213969633, 0.0517646968, 1.344
0.195069626, 0.190502018, 0.0826961845, 1.367
0.167439684, 0.200609833, 0.0790255815, 1.372
0.222835228, 0.116615921, 0.12224979, 1.466
0.199052557, 0.041399274, 0.14436309, 1.533
0.261154413, 0.108787902, 0.117339745, 1.425
0.288504958, 0.122774899, 0.104415268, 1.377
0.288070887, 0.0816831291, 0.11987263, 1.422
0.268343389, 0., 0.135005057, 1.471
0.318225592, 0.0486336164, 0.119421132, 1.399
0.135684401, -0.0304343384, 0.152759284, 1.602
0.12723285, -0.189270839, 0.096275866, 1.448
0.160668135, -0.228477091, 0.0396833867, 1.385
0.132151514, -0.216571793, 0.0678238571, 1.380
0.125723124, -0.236765146, 0.0319403484, 1.418
-0.259715259, -0.176949665, 0.0766019002, 1.963
-0.289508611, -0.180956215, 0.0600408725, 1.899
-0.293776929, -0.155464083, 0.0828415602, 1.924
0.115065388, -0.243289933, 0., 1.545
-0.143498823, -0.200624779, 0.083695069, 1.725
-0.137157872, -0.234043628, 0.0351738781, 1.563
0.0385827497, -0.239721328, 0.0436962545, 1.399
0., 0.0599106811, 0.155337781, 1.709
-0.0876407549, 0.0383489951, 0.155599162, 1.806
-0.042485863, -0.239528477, 0.043758627, 1.478
0.0978354514, -0.0415243395, 0.154640198, 1.636
0.18903169, -0.0304309949, 0.146838799, 1.549
0.0880398974, -0.127259463, 0.134806663, 1.585
0.0536019728, 0., 0.159077927, 1.680
0.126114041, -0.0717025921, 0.147869855, 1.598
0.210739031, -0.152498513, 0.10736268, 1.437
0.160472646, 0., 0.15153563, 1.580
